Treatment,Time_point,Family,variable,n,mean,sd
Imolope_high,T24,Class_Betaproteobacteria,Abundance,3,0,0
Imolope_low,T24,Class_Betaproteobacteria,Abundance,3,0,0
Lop_high,T24,Class_Betaproteobacteria,Abundance,3,0,0
Lop_low,T24,Class_Betaproteobacteria,Abundance,3,0,0
Saline,T24,Class_Betaproteobacteria,Abundance,3,0,0
DMSO,T48,Class_Betaproteobacteria,Abundance,3,0,0
Imolope_high,T48,Class_Betaproteobacteria,Abundance,3,0,0.001
Imolope_low,T48,Class_Betaproteobacteria,Abundance,3,0,0
Lop_high,T48,Class_Betaproteobacteria,Abundance,3,0,0
Lop_low,T48,Class_Betaproteobacteria,Abundance,3,0,0
Saline,T48,Class_Betaproteobacteria,Abundance,3,0,0
DMSO,T72,Class_Betaproteobacteria,Abundance,3,0,0
Imolope_high,T72,Class_Betaproteobacteria,Abundance,3,0,0.001
Imolope_low,T72,Class_Betaproteobacteria,Abundance,3,0,0
Lop_high,T72,Class_Betaproteobacteria,Abundance,3,0,0
Lop_low,T72,Class_Betaproteobacteria,Abundance,3,0,0
Saline,T72,Class_Betaproteobacteria,Abundance,3,0,0
DMSO,T0,Class_Clostridia,Abundance,3,0.007,0.006
Imolope_high,T0,Class_Clostridia,Abundance,3,0.027,0.01
Imolope_low,T0,Class_Clostridia,Abundance,3,0.003,0.005
Lop_high,T0,Class_Clostridia,Abundance,3,0,0
Lop_low,T0,Class_Clostridia,Abundance,3,0.014,0.015
Saline,T0,Class_Clostridia,Abundance,3,0.006,0.007
DMSO,T24,Class_Clostridia,Abundance,3,0,0
Imolope_high,T24,Class_Clostridia,Abundance,3,0,0
Imolope_low,T24,Class_Clostridia,Abundance,3,0,0
Lop_high,T24,Class_Clostridia,Abundance,3,0,0
Lop_low,T24,Class_Clostridia,Abundance,3,0,0
Saline,T24,Class_Clostridia,Abundance,3,0,0
DMSO,T48,Class_Clostridia,Abundance,3,0,0
Imolope_high,T48,Class_Clostridia,Abundance,3,0,0
Imolope_low,T48,Class_Clostridia,Abundance,3,0,0
Lop_high,T48,Class_Clostridia,Abundance,3,0,0
Lop_low,T48,Class_Clostridia,Abundance,3,0,0
Saline,T48,Class_Clostridia,Abundance,3,0,0
DMSO,T72,Class_Clostridia,Abundance,3,0,0
Imolope_high,T72,Class_Clostridia,Abundance,3,0,0
Imolope_low,T72,Class_Clostridia,Abundance,3,0,0
Lop_high,T72,Class_Clostridia,Abundance,3,0,0
Lop_low,T72,Class_Clostridia,Abundance,3,0,0
Saline,T72,Class_Clostridia,Abundance,3,0,0
DMSO,T0,Class_Coriobacteriia,Abundance,3,0.02,0.01
Imolope_high,T0,Class_Coriobacteriia,Abundance,3,0.038,0.037
Imolope_low,T0,Class_Coriobacteriia,Abundance,3,0.043,0.032
Lop_high,T0,Class_Coriobacteriia,Abundance,3,0.034,0.039
Lop_low,T0,Class_Coriobacteriia,Abundance,3,0.042,0.039
Saline,T0,Class_Coriobacteriia,Abundance,3,0.053,0.04
DMSO,T24,Class_Coriobacteriia,Abundance,3,0,0
Imolope_high,T24,Class_Coriobacteriia,Abundance,3,0,0.001
Imolope_low,T24,Class_Coriobacteriia,Abundance,3,0,0
Lop_high,T24,Class_Coriobacteriia,Abundance,3,0,0
Lop_low,T24,Class_Coriobacteriia,Abundance,3,0,0
Saline,T24,Class_Coriobacteriia,Abundance,3,0,0
DMSO,T48,Class_Coriobacteriia,Abundance,3,0,0
Imolope_high,T48,Class_Coriobacteriia,Abundance,3,0,0.001
Imolope_low,T48,Class_Coriobacteriia,Abundance,3,0,0
Lop_high,T48,Class_Coriobacteriia,Abundance,3,0.001,0.001
Lop_low,T48,Class_Coriobacteriia,Abundance,3,0,0
Saline,T48,Class_Coriobacteriia,Abundance,3,0,0
DMSO,T72,Class_Coriobacteriia,Abundance,3,0,0
Imolope_high,T72,Class_Coriobacteriia,Abundance,3,0,0
Imolope_low,T72,Class_Coriobacteriia,Abundance,3,0,0
Lop_high,T72,Class_Coriobacteriia,Abundance,3,0,0
Lop_low,T72,Class_Coriobacteriia,Abundance,3,0,0
Saline,T72,Class_Coriobacteriia,Abundance,3,0,0
DMSO,T0,Class_Deltaproteobacteria,Abundance,3,0.009,0.008
Imolope_high,T0,Class_Deltaproteobacteria,Abundance,3,0.016,0.008
Imolope_low,T0,Class_Deltaproteobacteria,Abundance,3,0.007,0.006
Lop_high,T0,Class_Deltaproteobacteria,Abundance,3,0.021,0.01
Lop_low,T0,Class_Deltaproteobacteria,Abundance,3,0.009,0.012
Saline,T0,Class_Deltaproteobacteria,Abundance,3,0.012,0.004
DMSO,T24,Class_Deltaproteobacteria,Abundance,3,0,0
Imolope_high,T24,Class_Deltaproteobacteria,Abundance,3,0,0
Imolope_low,T24,Class_Deltaproteobacteria,Abundance,3,0,0
Lop_high,T24,Class_Deltaproteobacteria,Abundance,3,0,0
Lop_low,T24,Class_Deltaproteobacteria,Abundance,3,0,0
Saline,T24,Class_Deltaproteobacteria,Abundance,3,0,0
DMSO,T48,Class_Deltaproteobacteria,Abundance,3,0,0
Imolope_high,T48,Class_Deltaproteobacteria,Abundance,3,0,0
Imolope_low,T48,Class_Deltaproteobacteria,Abundance,3,0,0
Lop_high,T48,Class_Deltaproteobacteria,Abundance,3,0,0
Lop_low,T48,Class_Deltaproteobacteria,Abundance,3,0,0
Saline,T48,Class_Deltaproteobacteria,Abundance,3,0,0
DMSO,T72,Class_Deltaproteobacteria,Abundance,3,0,0
Imolope_high,T72,Class_Deltaproteobacteria,Abundance,3,0,0
Imolope_low,T72,Class_Deltaproteobacteria,Abundance,3,0,0
Lop_high,T72,Class_Deltaproteobacteria,Abundance,3,0,0
Lop_low,T72,Class_Deltaproteobacteria,Abundance,3,0,0
Saline,T72,Class_Deltaproteobacteria,Abundance,3,0,0
DMSO,T0,Comamonadaceae,Abundance,3,0.044,0.069
Imolope_high,T0,Comamonadaceae,Abundance,3,0.013,0.011
